labeller_username,Cell_pk,cell_class,cell_class_long,region_pk,slide_pk,slide_dx,slide_dx_abbrev
admin,993,M4,Metamyelocyte,4513,11,Normal,nl
admin,994,M3,Myelocyte,4513,11,Normal,nl
admin,995,M5,Band neutrophil,4513,11,Normal,nl
admin,996,M4,Metamyelocyte,4513,11,Normal,nl
admin,997,M5,Band neutrophil,4513,11,Normal,nl
admin,998,M6,Segmented netrophil,4513,11,Normal,nl
admin,999,M6,Segmented netrophil,4513,11,Normal,nl
admin,1000,M5,Band neutrophil,4513,11,Normal,nl
admin,1001,M5,Band neutrophil,4513,11,Normal,nl
admin,1002,M6,Segmented netrophil,4513,11,Normal,nl
admin,1003,ER4,Orthochromic (nuc red),4513,11,Normal,nl
admin,1004,M4,Metamyelocyte,4513,11,Normal,nl
admin,1005,ER4,Orthochromic (nuc red),4513,11,Normal,nl
admin,1006,ER3,Polychromatophilic,4513,11,Normal,nl
admin,1007,ER3,Polychromatophilic,4513,11,Normal,nl
admin,1008,ER3,Polychromatophilic,4513,11,Normal,nl
admin,1009,ER4,Orthochromic (nuc red),4513,11,Normal,nl
admin,1010,ER4,Orthochromic (nuc red),4513,11,Normal,nl
admin,1011,M4,Metamyelocyte,4513,11,Normal,nl
admin,1012,M4,Metamyelocyte,4513,11,Normal,nl
admin,1013,M4,Metamyelocyte,4513,11,Normal,nl
admin,1014,M3,Myelocyte,4513,11,Normal,nl
admin,1015,M4,Metamyelocyte,4513,11,Normal,nl
admin,1016,ER3,Polychromatophilic,4513,11,Normal,nl
admin,1017,ER3,Polychromatophilic,4513,11,Normal,nl
admin,1018,ER4,Orthochromic (nuc red),4513,11,Normal,nl
admin,1019,ER3,Polychromatophilic,4513,11,Normal,nl
admin,1022,E2,Mature Eosinophil,4515,11,Normal,nl
admin,1023,M2,Promyelocyte,4515,11,Normal,nl
admin,1024,E1,Immature Eosinophil,4515,11,Normal,nl
admin,1025,M5,Band neutrophil,4515,11,Normal,nl
admin,1026,M3,Myelocyte,4515,11,Normal,nl
